ブルマ泥棒<>9078A408B588A6BC6EA150B950E56E24<>116.65.225.60:7144<>http://jbbs.shitaraba.net/game/43683/<><>&lt;2M Over&gt;<>0<>1<>500<>WMV<><><><><>%E3%83%96%E3%83%AB%E3%83%9E%E6%B3%A5%E6%A3%92<>0:01<>click<><>0
T.O.Lch<>27879231AD2C7A848B370FF682D9491A<>180.50.36.76:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/52152/1417855848/<>Game<>ダークソウル - &lt;Open&gt;<>-1<>-1<>1076<>WMV<><><><><>T.O.Lch<>3:53<>click<>艦これしながらTA練習　咳をしても青塊<>0
ちりめん<>A13D32015D31EE5F6C9E3D7774AD84DB<>118.104.69.78:7144<>http://www5.atchs.jp/test/read.cgi/daifukumochi2015/1402568839/148<>お絵かき<>ｏｎｅ４ - &lt;Over&gt;<>0<>1<>96<>FLV<><><><><>%E3%81%A1%E3%82%8A%E3%82%81%E3%82%93<>3:57<>click<>設定煮詰め・詳細はURL先に記載<>0
ひょーど<>905C220542685B4925AE8C4B46C2194C<>180.32.91.125:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/game/48883/1417975967/<>ジョジョSSとモンパレ<>ロギンスおじさんとサンダタおじさん - &lt;Open&gt;<>26<>29<>1076<>WMV<><><><><>%E3%81%B2%E3%82%87%E3%83%BC%E3%81%A9<>3:59<>click<><>0
yu-ch<>0A169A7149E2A559C80978E5D48A87CB<>121.109.168.178:7154<>http://jbbs.shitaraba.net/bbs/read.cgi/radio/5187/1418658747/<><>Game - PS 幻想のアルテミス - &lt;Free&gt;<>52<>58<>657<>WMV<><><><><>yu-ch<>4:06<>click<><>0
シオンch<>C866D716350F9AB4192C9C15C5AA86FD<>110.233.105.246:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/netgame/6140/1411493622/<>Game<>ggxrd - &lt;Free&gt;<>-1<>-1<>673<>WMV<><><><><>%E3%82%B7%E3%82%AA%E3%83%B3ch<>4:06<>click<>キャラ決め<>0
よっぱらい配信<>9092F22B41D7B5CF9251952F020D4444<>153.176.12.53:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/internet/21828/1415174923/<>game<>FF14 Mandragora - &lt;Free&gt;<>18<>18<>1074<>WMV<><><><><>%E3%82%88%E3%81%A3%E3%81%B1%E3%82%89%E3%81%84%E9%85%8D%E4%BF%A1<>4:11<>click<>よろしくねん！！<>0
野菊ちゃんねる<>9A3B451F31FF5F32173DD1E4CF37AF70<>180.235.43.115:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/game/52992/1410005901/<>PC game<>ドラゴンクエストⅩ 眠れる勇者と導きの盟友 - &lt;Open&gt;<>-1<>-1<>1060<>WMV<><><><><>%E9%87%8E%E8%8F%8A%E3%81%A1%E3%82%83%E3%82%93%E3%81%AD%E3%82%8B<>4:53<>click<>まったり(*´ω｀*)まったり(´・ω・｀)<>0
パイマンch<>9740ACE616B56691B4ECE382BDFFE795<>118.236.31.100:7144<>http://jbbs.shitaraba.net/radio/7340/<>Game<>リスナー任せのランダム配信 - &lt;Open&gt;<>50<>53<>976<>WMV<><><><><>%E3%83%91%E3%82%A4%E3%83%9E%E3%83%B3ch<>5:01<>click<>特になければブレイブリーデフォルト体験版かサミタ<>0
るも<>106E77987275E0103A3C2FC6A412DD66<>221.121.169.66:7144<>http://www5.atchs.jp/test/read.cgi/lumo/1408574487/<>game<>Don&#039;t Starve Together - &lt;Open&gt;<>10<>16<>966<>WMV<><><><><>%E3%82%8B%E3%82%82<>5:02<>click<>のんびりと<>0
くわい<>90F1CFA4E3E28681F770A3C6EE8EE78F<>123.218.169.60:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/computer/41218/1417916360/l50<>Game<>千年戦争アイギス - &lt;Open&gt;<>75<>79<>596<>WMV<><><><><>%E3%81%8F%E3%82%8F%E3%81%84<>5:06<>click<>よっしゃ<>0
握り飯<>DCAC69DAD973EFA786DD09646F4C06D0<>27.132.180.141:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/internet/21524/1418216609/<> トルネコ3　異世界ていえい　保保露　<>&lt;Free&gt;<>96<>107<>766<>WMV<><><><><>%E6%8F%A1%E3%82%8A%E9%A3%AF<>5:07<>click<>ＴＡなのにうんｋ離席するかも・・・<>0
ボンクラ魂<>90FDAF0FA8437A1A20F73D188D82E5A0<>106.165.132.166:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/internet/15821/1418744746/<><>R25 セクシータイフーンウルトラマイルド - &lt;Free&gt;<>6<>4<>571<>WMV<><><><><>%E3%83%9C%E3%83%B3%E3%82%AF%E3%83%A9%E9%AD%82<>5:12<>click<>slow jam<>0
あたch<>3C1F6075CC936676A522AE955CD90DAC<>58.0.162.52:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/netgame/2198/1418543208/<>VITA TV<>ガンパレードマーチ - &lt;Free&gt;<>65<>80<>1279<>WMV<><><><><>%E3%81%82%E3%81%9Fch<>5:15<>click<>初見　1週目<>0
ｯﾌｫ<>E9EE467DD0E8D1F88CDAA3047E207E82<>121.114.76.168:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/52759/1400755532/<>game<>有名RPG10 Ver2.3.6a - &lt;Over&gt;<>-1<>-1<>859<>WMV<><><><><>%EF%BD%AF%EF%BE%8C%EF%BD%AB<>5:21<>click<>ぼっちの日常<>0
86<>72367B2A6671A03AEF99784B8BF4DA63<>121.85.27.172:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/netgame/14261/1417295008/<>Game<>ガンダムオンライン　大将ボーイ - &lt;Free&gt;<>-1<>-1<>1128<>FLV<><><><><>86<>5:30<>click<>配信41回目<>0
鋼鉄<>5718AABC4AE4693CA81211EC114DD411<>220.211.49.78:7144<>http://www4.atchs.jp/test/read.cgi/koutetsuch/1418294507/<>PS3<>シャイニング・レゾナンス - &lt;Open&gt;<>26<>30<>1311<>WMV<><><><><>%E9%8B%BC%E9%89%84<>5:30<>click<>BANDして竜になる相手は死ぬ<>0
ゆきむし<>71174DC202F5A0CB9E926C1CC5C6C82D<>126.6.169.28:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/51395/1418707878/41<>FPS<>The Hunter Primal - &lt;Open&gt;<>-1<>-1<>1915<>WMV<><><><><>%E3%82%86%E3%81%8D%E3%82%80%E3%81%97<>5:35<>click<>鹿？恐竜でした<>0
アンバサ<>90B4C7559C6090408BFB84BB5B43A39C<>219.124.86.143:7144<>http://jbbs.shitaraba.net/internet/8045/<>お絵かき<>&lt;Open&gt;<>8<>10<>667<>WMV<><><><><>%E3%82%A2%E3%83%B3%E3%83%90%E3%82%B5<>5:51<>click<>進捗<>0
みーぅ Ch. M<>914E84CFEAA26DE120390D162D2385CA<>49.240.29.112:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/otaku/12551/1410996187/<>お絵かき R18+<>体をひねると痛いのが治らない。 - &lt;Free&gt;<>-1<>-1<>500<>WMV<><><><><>%E3%81%BF%E3%83%BC%E3%81%85+Ch.+M<>5:52<>click<><>1
さらしぼ<>303FE4108FBCF7DBAC6BF60722606FF4<>121.110.118.82:7144<>http://jbbs.shitaraba.net/game/39467/<><>千年戦争アイギス - &lt;Free&gt;<>37<>52<>1077<>WMV<><><><><>%E3%81%95%E3%82%89%E3%81%97%E3%81%BC<>6:32<>click<><>1
腹ぺこchannel<>3B5FB93904E09CC1F7B3BEA60B55D013<>121.105.96.75:7144<>http://jbbs.shitaraba.net/internet/1840/<>FPS GAME ERII<>おはよう - &lt;Open&gt;<>19<>18<>1496<>FLV<><><><><>%E8%85%B9%E3%81%BA%E3%81%93channel<>6:39<>click<><>0
ちんch<>965E29438639049CCDD483437690DB4E<>222.230.64.47:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/58168/1416486934/<><>PS4 Destiny デステニー - &lt;Free&gt;<>13<>15<>1472<>FLV<><><><><>%E3%81%A1%E3%82%93ch<>6:42<>click<>月レイド　&gt;&gt;245攻略テキスト書きました！<>0
ゆきみぞれch<>CE073728E1EB9EDC99D59EE191EA26D9<>126.57.218.27:7144<>http://jbbs.shitaraba.net/radio/8260/<>Game　<>終了しました - &lt;Free&gt;<>-1<>-1<>936<>WMV<><><><><>%E3%82%86%E3%81%8D%E3%81%BF%E3%81%9E%E3%82%8Cch<>6:52<>click<><>1
すろぷch<>D738D00EF306A441BAD6330143B51217<>182.170.37.134:7144<>http://jbbs.shitaraba.net/computer/38088/<><>FF14 - &lt;Free&gt;<>41<>59<>1096<>FLV<><><><><>%E3%81%99%E3%82%8D%E3%81%B7ch<>7:13<>click<>22時からバハ、他ゲーもする・・かもです<>0
ゆべし<>EC8DC9248F5621389D218E1AED45D23F<>210.253.199.51:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/32713/1418565241/<>18x絵<>ｺﾞﾐｽﾚ - &lt;Open&gt;<>16<>17<>349<>WMV<><><><><>%E3%82%86%E3%81%B9%E3%81%97<>7:35<>click<>マインスイーパー<>0
弟ch<>96772C0AD9AB5C1E2D78989CCCF0321E<>157.192.79.84:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/45654/1418534625/<>game<>GGxrd　俺がドラゴンだ - &lt;Open&gt;<>124<>130<>1080<>WMV<><><><><>%E5%BC%9Fch<>9:03<>click<><>0
幽ch<>9F2B052B2B9EB88E09AFAA9C911A39ED<>180.61.131.254:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/radio/20564/1418727920/<>game<>PC - Mount&amp;Blade Warband - 初見プレイ - 天下ハゲ統一まであと三千里 - &lt;Open&gt;<>56<>82<>1076<>WMV<><><><><>%E5%B9%BDch<>10:54<>click<><>0
たけぞう<>84A0DE53A5C32EAE149C90489355DB07<>58.81.180.52:7145<>http://jbbs.shitaraba.net/game/57998/<>Game<>ウェポンズオブミソロジー基本無料MMO OB - &lt;Free&gt;<>33<>53<>1649<>WMV<><><><><>%E3%81%9F%E3%81%91%E3%81%9E%E3%81%86<>57:00<>click<><>0
SP◆Status<>00000000000000000000000000000000<><>http://bayonet.ddo.jp/sp/<><>2000kbps Over.■お知らせ:通常運転<>-9<>-9<>0<>RAW<><><><><><>00:00<>click<><>0
SP ※お知らせ 12/03<>00000000000000000000000000000000<><>https://twitter.com/ARCSY_Event/status/539775853966544897<><>「GUILTY GEAR Xrd -SIGN-」についてのネタバレ禁止のお願いが出ています。配信を行う際は一読宜しくお願いします。<>-9<>-9<>0<>RAW<><><><><><>00:00<>click<><>0
